Code;Libellé;Nb de pers. âgées de 65 ans ou + 2020;Taux d'emploi des femmes de 25-54 ans 2020;Taux d'emploi des hommes de 25-54 ans 2020;Part des pers., dont le diplôme le plus élevé est le bepc ou le brevet, dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+2 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+3  ou BAC+4 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2020;Part des locataires HLM dans les rés. principales 2020;Part des pers. âgées de 25 à 64 ans 2020;Part des pers. âgées de 65 ans ou + 2020;Créations d'entreprises (en nombre) 2022
12148;Montbazens;477;83.2;88.6;5.7;10.9;6.8;4.3;4.5;42.8;33.7;20
12149;Montclar;54;94.1;90.5;4.4;4.4;8.1;6.7;4.9;47.8;35.7;1
12150;Monteils;171;72.5;87.2;7;11.5;11;5;0.9;45.7;35.6;2
12151;Montézic;67;88.5;89.8;6.7;11.6;9.1;5.4;1.7;49.7;30.6;1
12152;Montfranc;51;100;95.2;6.4;13.6;1.8;1.8;0;41.4;39.8;0
12153;Montjaux;98;75;88;6;12;9.9;5.4;2;54.1;23.1;5
12154;Montlaur;171;82.2;93.2;5.2;12.3;8.5;6;0;49.4;27;7
12155;Fondamente;110;70.9;79.9;3.5;10.8;10.5;8.4;2.3;50.2;32.9;1
12156;Montpeyroux;149;89.3;90.9;6.7;13.7;7.3;5.3;0;50.7;28.1;11
12157;Montrozier;320;90.6;94.4;5.8;17.3;10.6;8.3;8.1;51.9;18.6;19
12158;Montsalès;92;88.9;93.9;2.3;10.6;15.1;8.3;0;48.8;28.2;5
12159;Morlhon-le-Haut;158;85;94.2;4.1;9.9;7.5;4.1;0;50.3;28.5;4
12160;Mostuéjouls;93;85.7;81.6;7.1;6.7;12.7;3.7;0;53.3;29;3
12161;Mouret;120;82.9;87.1;6.4;16.3;7.3;7.5;0;51.7;21.9;5
12162;Moyrazès;221;89.8;95.5;5.5;16;9;5.5;3.2;51.2;20.6;11
12163;Murasson;60;87.9;85.4;3;6;4.8;0.6;0;48.6;28.6;5
12164;Mur-de-Barrez;290;80.8;83.3;7.8;8.1;5.7;5.2;3.5;41.6;41.6;6
12165;Muret-le-Château;68;94.1;98.7;5.5;12.5;11;3.1;0;50.7;18.8;5
12166;Murols;39;100;83.3;7.2;4.1;5.2;4.1;0;46.9;34.5;1
